"index","value"
0,4.7184988713
1,4.77068462447
2,4.88280192259
3,4.85981240436
4,4.7957905456
5,4.90527477844
6,4.99721227376
7,4.99721227376
8,4.91265488574
9,4.77912349311
10,4.64439089914
11,4.77068462447
12,4.74493212836
13,4.83628190695
14,4.94875989038
15,4.90527477844
16,4.8283137373
17,5.00394630595
18,5.13579843705
19,5.13579843705
20,5.06259503303
21,4.89034912822
22,4.73619844839
23,4.94164242261
24,4.97673374242
25,5.0106352941
26,5.18178355029
27,5.09375020081
28,5.14749447681
29,5.18178355029
30,5.29330482472
31,5.29330482472
32,5.21493575761
33,5.08759633523
34,4.98360662171
35,5.11198778836
36,5.1416635565
37,5.19295685089
38,5.2626901889
39,5.19849703127
40,5.20948615284
41,5.38449506279
42,5.43807930892
43,5.48893772616
44,5.34233425196
45,5.25227342805
46,5.14749447681
47,5.26785815906
48,5.27811465923
49,5.27811465923
50,5.46383180503
51,5.45958551414
52,5.43372200355
53,5.49306144334
54,5.57594910315
55,5.6058020663
56,5.46806014114
57,5.35185813348
58,5.19295685089
59,5.30330490806
60,5.31811999384
61,5.23644196283
62,5.45958551414
63,5.42495001748
64,5.45532111536
65,5.57594910315
66,5.71042701737
67,5.68017260902
68,5.5568280617
69,5.43372200355
70,5.31320597904
71,5.43372200355
72,5.48893772616
73,5.45103845357
74,5.5872486584
75,5.5947113796
76,5.598421959
77,5.75257263883
78,5.89715386764
79,5.84932477995
80,5.74300318781
81,5.61312810639
82,5.46806014114
83,5.62762111369
84,5.64897423816
85,5.62401750619
86,5.75890177388
87,5.74620319054
88,5.76205138278
89,5.92425579741
90,6.02344759296
91,6.00388706711
92,5.87211778948
93,5.72358510195
94,5.60211882088
95,5.72358510195
96,5.75257263883
97,5.70711026475
98,5.87493073085
99,5.85220247977
100,5.87211778948
101,6.04500531404
102,6.14203740559
103,6.14632925767
104,6.00141487796
105,5.84932477995
106,5.72031177661
107,5.81711115996
108,5.82894561761
109,5.76205138278
110,5.89164421183
111,5.85220247977
112,5.89440283426
113,6.07534603109
114,6.19644412779
115,6.22455842928
116,6.00141487796
117,5.88332238849
118,5.73657229748
119,5.82008293035
120,5.88610403145
121,5.83481073706
122,6.0063531596
123,5.98141421125
124,6.04025471128
125,6.15697898559
126,6.30627528695
127,6.32614947316
128,6.13772705409
129,6.00881318544
130,5.89164421183
131,6.00388706711
132,6.0330862218
133,5.96870755999
134,6.03787091992
135,6.133398043
136,6.15697898559
137,6.2822667469
138,6.43294009274
139,6.40687998607
140,6.23048144758
141,6.133398043
142,5.96614673912
143,6.06842558824
